Ward-Code,Ward-Name,Townsend01,Quintiles
00AAFA,Aldersgate,1.63,4
00AAFE,Bishopsgate,,
00AAFQ,Cripplegate,5.24,5
00AAFS,Farringdon Within,,
00AAFT,Farringdon Without,7.75,5
00AAFX,Portsoken,13.44,5
00AAFY,Queenhithe,3.74,5
00AAFZ,Tower,7.10,5
00AAGB,Walbrook,,
00ABFX,Abbey,9.36,5
00ABFY,Alibon,4.87,5
00ABFZ,Becontree,5.06,5
00ABGA,Chadwell Heath,3.57,5
00ABGB,Eastbrook,1.22,4
00ABGC,Eastbury,4.78,5
00ABGD,Gascoigne,11.79,5
00ABGE,Goresbrook,5.27,5
00ABGF,Heath,6.22,5
00ABGG,Longbridge,-0.05,4
00ABGH,Mayesbrook,4.78,5
00ABGJ,Parsloes,4.98,5
00ABGK,River,3.51,5
00ABGL,Thames,7.24,5
00ABGM,Valence,4.29,5
00ABGN,Village,5.10,5
00ABGP,Whalebone,0.51,4
00ACFX,Brunswick Park,-0.10,4
00ACFY,Burnt Oak,7.78,5
00ACFZ,Childs Hill,4.59,5
00ACGA,Colindale,7.91,5
00ACGB,Coppetts,2.11,4
00ACGC,East Barnet,0.00,4
00ACGD,East Finchley,3.17,5
00ACGE,Edgware,1.57,4
00ACGF,Finchley Church End,0.59,4
00ACGG,Garden Suburb,-0.29,3
00ACGH,Golders Green,4.47,5
00ACGJ,Hale,1.09,4
00ACGK,Hendon,2.62,5
00ACGL,High Barnet,-1.17,3
00ACGM,Mill Hill,0.19,4
00ACGN,Oakleigh,-0.70,3
00ACGP,Totteridge,0.06,4
00ACGQ,Underhill,1.85,4
00ACGR,West Finchley,2.02,4
00ACGS,West Hendon,4.72,5
00ACGT,Woodhouse,2.49,5
00ADGA,Barnehurst,-1.62,3
00ADGB,Belvedere,1.14,4
00ADGC,Blackfen and Lamorbey,-2.45,2
00ADGD,Blendon and Penhill,-2.90,1
00ADGE,Brampton,-2.32,2
00ADGF,Christchurch,-1.59,3
00ADGG,Colyers,1.58,4
00ADGH,Crayford,0.55,4
00ADGJ,Cray Meadows,0.10,4
00ADGK,Danson Park,-1.28,3
00ADGL,East Wickham,-1.20,3
00ADGM,Erith,1.47,4
00ADGN,Falconwood and Welling,-2.36,2
00ADGP,Lesnes Abbey,1.47,4
00ADGQ,Longlands,-1.57,3
00ADGR,North End,3.58,5
00ADGS,Northumberland Heath,-1.13,3
00ADGT,St Mary's,-2.91,1
00ADGU,St Michael's,-2.05,2
00ADGW,Sidcup,-1.48,3
00ADGX,Thamesmead East,5.46,5
00AEGJ,Alperton,9.43,5
00AEGK,Barnhill,6.11,5
00AEGL,Brondesbury Park,6.18,5
00AEGM,Dollis Hill,6.98,5
00AEGN,Dudden Hill,7.62,5
00AEGP,Fryent,4.71,5
00AEGQ,Harlesden,12.50,5
00AEGR,Kensal Green,6.86,5
00AEGS,Kenton,1.58,4
00AEGT,Kilburn,11.39,5
00AEGU,Mapesbury,7.87,5
00AEGW,Northwick Park,2.20,5
00AEGX,Preston,4.48,5
00AEGY,Queens Park,6.09,5
00AEGZ,Queensbury,5.16,5
00AEHA,Stonebridge,15.61,5
00AEHB,Sudbury,7.40,5
00AEHC,Tokyngton,6.36,5
00AEHD,Welsh Harp,6.07,5
00AEHE,Wembley Central,9.81,5
00AEHF,Willesden Green,10.98,5
00AFGD,Bickley,-2.55,2
00AFGE,Biggin Hill,-3.38,1
00AFGF,Bromley Common and Keston,-0.98,3
00AFGG,Bromley Town,-0.30,3
00AFGH,Chelsfield and Pratts Bottom,-3.02,1
00AFGJ,Chislehurst,-2.23,2
00AFGK,Clock House,0.22,4
00AFGL,Copers Cope,-0.22,4
00AFGM,Cray Valley East,0.63,4
00AFGN,Cray Valley West,1.43,4
00AFGP,Crystal Palace,5.70,5
00AFGQ,Darwin,-2.91,1
00AFGR,Farnborough and Crofton,-2.50,2
00AFGS,Hayes and Coney Hall,-2.95,1
00AFGT,Kelsey and Eden Park,-1.65,3
00AFGU,Mottingham and Chislehurst North,2.45,5
00AFGW,Orpington,-0.82,3
00AFGX,Penge and Cator,4.07,5
00AFGY,Petts Wood and Knoll,-3.50,1
00AFGZ,Plaistow and Sundridge,0.04,4
00AFHA,Shortlands,-2.34,2
00AFHB,West Wickham,-2.73,1
00AGGD,Belsize,6.58,5
